PlotBusLocations([new SmiTransitVehicleLocation('308', 46.722188, -117.1849625, 59, 348, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.722188, -117.1849625, 59, 348, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.722188, -117.1849625, 59, 348, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7256358, -117.1856745, 59, 19, 'Images/RouteBus_59_020_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:00 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7262193, -117.1851958, 59, 32, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.726474, -117.1849488, 59, 32, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.726474, -117.1849488, 59, 32, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.726474, -117.1849488, 59, 32, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.726474, -117.1849488, 59, 32, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7282192, -117.1833022, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7282192, -117.1833022, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7282192, -117.1833022, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7282192, -117.1833022, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7282192, -117.1833022, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7282192, -117.1833022, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7295823, -117.181991, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7295823, -117.181991, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7295823, -117.181991, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7295823, -117.181991, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7295823, -117.181991, 59, 33, 'Images/RouteBus_59_030_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:28:58 PM')]);
