PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7194222, -117.1797158, 60, 86, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7194222, -117.1797158, 60, 86, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7194222, -117.1797158, 60, 86, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7196047, -117.177711, 60, 36, 'Images/RouteBus_60_040_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7196047, -117.177711, 60, 36, 'Images/RouteBus_60_040_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7196047, -117.177711, 60, 36, 'Images/RouteBus_60_040_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7196047, -117.177711, 60, 36, 'Images/RouteBus_60_040_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7196047, -117.177711, 60, 36, 'Images/RouteBus_60_040_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7196047, -117.177711, 60, 36, 'Images/RouteBus_60_040_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7213145, -117.1786008, 60, 5, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:18:04 PM')]);
